1/8 11000 a社1月サーバメンテナンス費
2/3 11000 a社2月サーバメンテナンス費
2/17 83600 b社温湿度センサ回路図変更
2/21 11000 a社3月サーバメンテナンス費
2/21 96700 a社スタッフ退勤時間追加
3/30 308000 c社工場出張作業費
4/2 11000 a社4月サーバメンテナンス費
4/10 143550 a社スタッフ希望出退勤追加
4/20 101200 a社日報ページ作成
4/23 275000 c社自動研磨機PLCPLC
4/27 148500 b社リモートノードミニ回路図
5/9 11000 a社5月サーバメンテナンス費
5/13 110000 d社デバッグサポート
6/10 160000 a社サーバ新規入れ替え
7/2 11000 a社６月サーバメンテナンス費
7/20 110000 c社端子送入機PG
8/20 117700 b社温湿度センサPT削除版回路図
8/22 11000 a社７月サーバメンテナンス費
9/20 55000 b社ファンレジスタコンバータ
9/29 11000 a社８月サーバメンテナンス費
9/29 225500 a社配車表作成アプリ
12/10 666800 e社給付金
12/14 383458 a社QR勤怠システム
12/14 44000 a社サーバメンテナンス費9-12月
